Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,BAT-TH_MY-2032-22,1,BS-CR2032-8,C7498149
"BTN1, RESET1",SW-SMD_TS-1086EV-AR03526,2,SW_Push,
"C1, C14, C17, C19",0402,4,0.1u,
C16,0603,1,0.22u,
C18,0603,1,0.1uF,
"C2, C21, C3",0603,3,1u,
C20,0402,1,0.1uF,
C4,0603,1,0.1u,
C5,0603,1,4.7u,
"C6, C7",0402,2,12p,
D2,0603,1,LED1,
D3,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
F1,F1210,1,1210L110/16WR,C720185
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,0603,1,10uH,
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,DMG2305UX-13,C144153
"R1, R4",0402,2,5K1,
"R10, R11, R15",0402,3,10K,
"R16, R18",0402,2,4K7,
R2,0402,1,820K,
R3,0402,1,2M,
R5,0402,1,1K,
R6,0402,1,100K,
U1,WIRELM-SMD_E73-2G4M08S1C,1,E73-2G4M08S1C,C356849
U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,ME6211C30M5G-N,C403651
U3,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,1,GD25Q64ESIG,C2685734
U4,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSV16XTR,
U5,VLGA-12_L2.0-W2.0-P0.50-BL,1,LIS2MDLTR,
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
VCCSEL1,SW-SMD_G-SWITCH_MK-12C02-G015,1,MK-12C02-G015,C2911519
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,
