Designator,Mid X,Mid Y,Rotation,Layer
BT1,122.3952,-93.9854,270.0,bottom
C1,123.888129,-91.664991,90.0,top
C14,123.204697,-109.299929,90.0,top
C16,110.246273,-108.475485,180.0,top
C17,109.327697,-104.324559,180.0,top
C18,115.925911,-112.731596,180.0,top
C19,109.737261,-106.25,90.0,top
C2,118.8226,-88.156,180.0,top
C20,113.861412,-112.734743,180.0,top
C21,111.143687,-106.271919,90.0,top
C4,109.9605,-99.2297,180.0,top
C5,110.1106,-101.1777,180.0,top
C6,108.733,-97.0562,90.0,top
C7,111.7099,-93.3108,0.0,top
C8,118.7704,-90.7725,180.0,top
D2,113.7981,-91.1073,180.0,top
H2,129.090717,-92.880139,45.0,top
L1,110.491788,-110.021777,180.0,top
R11,116.772783,-111.129417,90.0,top
R15,105.971795,-105.453231,270.0,top
R16,106.443056,-103.846661,0.0,top
R18,108.114482,-108.446923,0.0,top
R2,123.916229,-89.452191,270.0,top
R3,122.537129,-89.433591,270.0,top
R5,122.501329,-91.630591,90.0,top
U1,120.2262,-100.4712,90.0,top
U2,120.190401,-111.131428,270.0,top
U4,114.5286,-110.7699,180.0,top
U5,107.817237,-106.25,270.0,top
Y2,110.6567,-95.9668,90.0,top
